Epoch,Training Loss,Validation Loss,Checkpoint Saved
1,4.381417841151141,4.009826746715862,Yes
2,3.4334524852642114,3.6520908137035977,Yes
3,2.9452635652472194,3.4666862639651934,Yes
4,2.6082518706439606,3.3787098158696653,Yes
5,2.364701194226589,3.355495348098172,Yes
6,2.1688517525169653,3.36343381511178,No
7,2.01254886485325,3.401418503682325,No
8,1.8841231182306521,3.444217413094393,No
9,1.7725890799658175,3.472319183835558,No
10,1.6768358970237205,3.5389926691723477,No
11,1.5974072757584359,3.5905730830635996,No
12,1.522501249447503,3.6467832121879433,No
